OBJECTID,DATE,Group,Facility,County,Cases,Month,Cases_Normalized,Risk_Level
362,2020-10-21 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0,10,-0.3811860615889917,0
363,2020-10-21 10:00:00,Staff,State and Local Affected Facilities,Allegany,9,10,-0.3426435004754572,0
364,2020-10-21 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
365,2020-10-21 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
366,2020-10-21 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
415,2020-10-28 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,48,10,-0.17562573565014106,0
416,2020-10-28 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,91,10,0.008522056336746008,0
417,2020-10-28 10:00:00,Staff,State and Local Affected Facilities,Allegany,10,10,-0.3383609936850645,0
418,2020-10-28 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
419,2020-10-28 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
420,2020-10-28 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,10,-0.3811860615889917,0
439,2020-11-04 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,53,11,-0.15421320169817743,0
440,2020-11-04 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,101,11,0.05134712424067323,0
441,2020-11-04 10:00:00,Staff,State and Local Affected Facilities,Allegany,25,11,-0.27412339182917367,0
442,2020-11-04 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
443,2020-11-04 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
444,2020-11-04 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
469,2020-11-11 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,97,11,0.034217097079102345,0
470,2020-11-11 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,186,11,0.4153602014240546,0
471,2020-11-11 10:00:00,Staff,State and Local Affected Facilities,Allegany,27,11,-0.26555837824838824,0
472,2020-11-11 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
473,2020-11-11 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
474,2020-11-11 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
493,2020-11-18 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,172,11,0.3554051063585565,0
494,2020-11-18 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,297,11,0.8907184551576468,2
495,2020-11-18 10:00:00,Staff,State and Local Affected Facilities,Allegany,56,11,-0.14136568132699928,0
496,2020-11-18 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
497,2020-11-18 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
498,2020-11-18 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
505,2020-11-25 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,277,11,0.8050683193497924,2
506,2020-11-25 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,417,11,1.4046192700047735,2
507,2020-11-25 10:00:00,Staff,State and Local Affected Facilities,Allegany,108,11,0.08132467177342229,0
508,2020-11-25 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
509,2020-11-25 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
510,2020-11-25 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,11,-0.3811860615889917,0
517,2020-12-02 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,302,12,0.9121309891096104,2
518,2020-12-02 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,431,12,1.4645743650702716,2
519,2020-12-02 10:00:00,Staff,State and Local Affected Facilities,Allegany,182,12,0.39823017426248375,0
520,2020-12-02 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
521,2020-12-02 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
522,2020-12-02 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
529,2020-12-09 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,373,12,1.2161889712274938,2
530,2020-12-09 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,506,12,1.7857623743497257,2
531,2020-12-09 10:00:00,Staff,State and Local Affected Facilities,Allegany,95,12,0.025652083498316897,0
532,2020-12-09 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
533,2020-12-09 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
534,2020-12-09 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
559,2020-12-16 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,364,12,1.1776464101139592,2
560,2020-12-16 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,465,12,1.6101795959436243,2
561,2020-12-16 10:00:00,Staff,State and Local Affected Facilities,Allegany,266,12,0.7579607446554725,2
562,2020-12-16 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
563,2020-12-16 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
564,2020-12-16 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
589,2020-12-23 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,404,12,1.3489466817296683,2
590,2020-12-23 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,472,12,1.6401571434763733,2
591,2020-12-23 10:00:00,Staff,State and Local Affected Facilities,Allegany,277,12,0.8050683193497924,2
592,2020-12-23 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
593,2020-12-23 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
594,2020-12-23 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
607,2020-12-30 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,406,12,1.3575116953104536,2
608,2020-12-30 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,475,12,1.6530046638475515,2
609,2020-12-30 10:00:00,Staff,State and Local Affected Facilities,Allegany,299,12,0.8992834687384323,2
610,2020-12-30 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
611,2020-12-30 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
612,2020-12-30 10:00:00,Youth,State and Local Affected Facilities,Allegany,0,12,-0.3811860615889917,0
613,2021-01-06 10:00:00,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,406,1,1.3575116953104536,2
614,2021-01-06 10:00:00,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,473,1,1.644439650266766,2
615,2021-01-06 10:00:00,Staff,State and Local Affected Facilities,Allegany,308,1,0.9378260298519668,2
616,2021-01-06 10:00:00,Patients,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
617,2021-01-06 10:00:00,Inmates,State and Local Affected Facilities,Allegany,0,1,-0.3811860615889917,0
