OBJECTID,DATE,Facility_Type,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_George_s,Queen_Anne_s,Somerset,St_Mary_s,Talbot,Washington,Wicomico,Worcester
259,09/09/0200 09:03:58 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,92,633,593,8,19,14,0,27,14,92,0,53,136,5,574,196,0,0,0,18,47,49,55
260,09/09/0200 09:03:58 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,190,870,873,1,33,91,0,40,18,127,0,98,167,0,763,291,0,0,0,13,68,99,100
261,09/09/0200 09:03:58 AM,Staff: State and Local Affected Facilities,8,293,53,302,0,3,20,0,0,0,8,0,0,0,1,0,43,0,0,0,0,44,4,12
262,09/09/0200 09:03:58 AM,Patients: State and Local Affected Facilities,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
263,09/09/0200 09:03:58 AM,Inmates: State and Local Affected Facilities,0,373,218,218,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
264,09/09/0200 09:03:58 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,09/09/0200 09:03:58 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,92,633,593,8,19,14,0,27,14,92,0,53,136,5,574,196,0,0,0,18,47,49,55
266,09/09/0200 09:03:58 AM,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",0,190,870,873,1,33,91,0,40,18,127,0,98,167,0,763,291,0,0,0,13,68,99,100
267,09/09/0200 09:03:58 AM,Staff: State and Local Affected Facilities,8,293,53,302,0,3,20,0,0,0,8,0,0,0,1,0,43,0,0,0,0,44,4,12
268,09/09/0200 09:03:58 AM,Patients: State and Local Affected Facilities,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1
269,09/09/0200 09:03:58 AM,Inmates: State and Local Affected Facilities,0,373,218,218,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0
270,09/09/0200 09:03:58 AM,Youth: State and Local Affected Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,09/09/0200 09:03:58 AM,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",2,92,633,593,8,19,14,0,27,14,92,0,53,136,5,610,196,0,0,0,18,47,49,55
