OBJECTID,DATE,Month,County,Group,Facility,Cases,Cases_Normalized,Risk_Level
635,2021-01-20 10:00:00,1,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
636,2021-01-20 10:00:00,1,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
637,2021-01-27 10:00:00,1,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",157,0.29116750450266565,0
638,2021-01-27 10:00:00,1,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",205,0.49672783044151636,0
639,2021-01-27 10:00:00,1,Allegany,Staff,State and Local Affected Facilities,184,0.4067951878432692,0
640,2021-01-27 10:00:00,1,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
641,2021-01-27 10:00:00,1,Allegany,Inmates,State and Local Affected Facilities,0,-0.3811860615889917,0
642,2021-01-27 10:00:00,1,Allegany,Youth,State and Local Affected Facilities,0,-0.3811860615889917,0
643,2021-02-03 10:00:00,2,Allegany,Staff,"Nursing, Assisted Living, Group Homes Affected Facilities",143,0.23121240943716756,0
644,2021-02-03 10:00:00,2,Allegany,Residents,"Nursing, Assisted Living, Group Homes Affected Facilities",220,0.5609654322974073,0
645,2021-02-03 10:00:00,2,Allegany,Staff,State and Local Affected Facilities,340,1.0748662471445338,2
646,2021-02-03 10:00:00,2,Allegany,Patients,State and Local Affected Facilities,0,-0.3811860615889917,0
